Source	Target	Type	Weight	8	12	10	6	7	weight	timeset	19	9	id	13	11	label	16	14	15	18	17
7c0XG5cIJTrrAgEC3ULPiq	2RdwBSPQiwcmiDo9kixcl8	0	2.0	Undirected	Pharrell Williams	2	4	339	2.0	null	day	18836	89	7716	Ty Dolla $ign	null	true	41HF1rru9LtZCXTOBGFlk4	Stare (feat. Pharrell Williams and Wiz Khalifa)	27/10/2017	51
7c0XG5cIJTrrAgEC3ULPiq	4Rxn7Im3LGfyRkY2FlHhWi	0	2.0	Undirected	Nick Jonas	2	4	1645	2.0	null	day	18210	90	7304	Ty Dolla $ign	null	true	5W4vPDfwFNQqt7frRjL41t	Bacon	10/06/2016	66
7c0XG5cIJTrrAgEC3ULPiq	7bXgB6jMjp9ATFy66eO08Z	0	2.0	Undirected	Chris Brown	2	4	572	2.0	null	day	17275	91	6637	Ty Dolla $ign	null	true	6yMxfx9wpiuhhdb8vHDVMu	Whatever You Need (feat. Chris Brown & Ty Dolla $ign)	21/07/2017	68
7c0XG5cIJTrrAgEC3ULPiq	20sxb77xiYeusSH8cVdatc	0	2.0	Undirected	Meek Mill	2	4	750	2.0	null	day	17274	92	6637	Ty Dolla $ign	null	true	6yMxfx9wpiuhhdb8vHDVMu	Whatever You Need (feat. Chris Brown & Ty Dolla $ign)	21/07/2017	68
7c0XG5cIJTrrAgEC3ULPiq	4LLpKhyESsyAXpc4laK94U	0	2.0	Undirected	Mac Miller	2	4	748	2.0	null	day	16667	93	6293	Ty Dolla $ign	null	true	2lpygKqzPFtItQ4ss3cgfb	Cinderella (feat. Ty Dolla $ign)	16/09/2016	66
7c0XG5cIJTrrAgEC3ULPiq	3ipn9JLAPI5GUEo4y4jcoi	0	2.0	Undirected	Ludacris	2	4	335	2.0	null	day	16545	94	6205	Ty Dolla $ign	null	true	2oN4q66KUcOnWO86FVyctY	Vitamin D	31/03/2017	58
7c0XG5cIJTrrAgEC3ULPiq	2HPaUgqeutzr3jx5a9WyDV	0	2.0	Undirected	PARTYNEXTDOOR	2	4	1290	2.0	null	day	15768	95	5983	Ty Dolla $ign	null	true	6wlK5pPaeWWAS4Fzff3hcK	Breather	30/03/2018	57
7c0XG5cIJTrrAgEC3ULPiq	1RyvyyTE3xzB2ZywiAwp0i	0	2.0	Undirected	Future	2	4	20	2.0	null	day	14311	96	5582	Ty Dolla $ign	null	false	14EgW52HVqnLHd30bgbPxg	Darkside (with Ty Dolla $ign & Future feat. Kiiara)	09/11/2017	65
7c0XG5cIJTrrAgEC3ULPiq	6KZDXtSj0SzGOV705nNeh3	0	2.0	Undirected	Kid Ink	2	4	879	2.0	null	day	14223	97	5532	Ty Dolla $ign	null	true	6mLfR7fHVDcCKpLwGLWCWw	F With U	05/05/2017	64
7c0XG5cIJTrrAgEC3ULPiq	5gCRApTajqwbnHHPbr2Fpi	0	4.0	Undirected	Juicy J	4	4	54	4.0	null	day	13657	98	5215	Ty Dolla $ign	null	true	5HmhfuQOiPFowUEjN6ytZk	Ain't Nothing	08/12/2017	54
