Id	eigencentrality	0	eccentricity	betweenesscentrality	timeset	harmonicclosnesscentrality	id	degree	triangles	clustering	modularity_class	label	closnesscentrality	weighted degree
0s6px6BMEyOSr71CXIyQsM	6.505187587573411E-4	Lacey Mosley	13.0	0.0	null	0.1577930901518704	0s6px6BMEyOSr71CXIyQsM	1	0	0.0	5728	0s6px6BMEyOSr71CXIyQsM	0.15300119961265518	2.0
4zzdrVS6WwkAz5euTUplyI	0.0014528084558357282	WDR Big Band	13.0	0.0	null	0.16252229124655632	4zzdrVS6WwkAz5euTUplyI	1	0	0.0	4587	4zzdrVS6WwkAz5euTUplyI	0.1567251461988304	18.0
1gMhpxnaN3cVaWL681APeq	4.627177844783754E-4	Blinky	2.0	0.0	null	0.75	1gMhpxnaN3cVaWL681APeq	1	0	0.0	1316	1gMhpxnaN3cVaWL681APeq	0.6666666666666666	4.0
75hXWfyHB0VZQJwaJna3Uy	0.0	S.o.B.Beats	0.0	0.0	null	0.0	75hXWfyHB0VZQJwaJna3Uy	0	0	0.0	980	75hXWfyHB0VZQJwaJna3Uy	0.0	0.0
5HZdkgCntwFAx3GWpoIEpB	0.0	Rock Circus Feat. Neil Landon	0.0	0.0	null	0.0	5HZdkgCntwFAx3GWpoIEpB	0	0	0.0	981	5HZdkgCntwFAx3GWpoIEpB	0.0	0.0
5NXHXK6hOCotCF8lvGM1I0	0.002068574446230274	Porcupine Tree	12.0	0.0	null	0.1702083007887968	5NXHXK6hOCotCF8lvGM1I0	1	0	0.0	5810	5NXHXK6hOCotCF8lvGM1I0	0.16409858936598976	2.0
1JRM5Ww8dGRncPO0pwllNy	0.021396587481498232	Cubo	11.0	0.0	null	0.2184863261096061	1JRM5Ww8dGRncPO0pwllNy	1	0	0.0	5415	1JRM5Ww8dGRncPO0pwllNy	0.20386311552756756	2.0
28vEdVzlN57zzz3SJXQBKh	0.0	Amorphic Field	0.0	0.0	null	0.0	28vEdVzlN57zzz3SJXQBKh	0	0	0.0	982	28vEdVzlN57zzz3SJXQBKh	0.0	0.0
3BMgt0uHQsczPIay1SaT4a	0.005377380635931575	Zino Vinnikov	13.0	0.0	null	0.16241373584326926	3BMgt0uHQsczPIay1SaT4a	1	0	0.0	5909	3BMgt0uHQsczPIay1SaT4a	0.15490649419064065	10.0
0jJNGWrpjGIHUdTTJiIYeB	4.627177844783754E-4	The Wallflowers	2.0	0.0	null	0.75	0jJNGWrpjGIHUdTTJiIYeB	1	0	0.0	5929	0jJNGWrpjGIHUdTTJiIYeB	0.6666666666666666	6.0
6VKm3uaFkfP27nvoq6pcyw	0.036461639130880706	Governor	11.0	59.07955954472878	null	0.2249237946385128	6VKm3uaFkfP27nvoq6pcyw	2	0	0.0	5659	6VKm3uaFkfP27nvoq6pcyw	0.21011889402751038	6.0
4tI57VrqnmaDtrlhNYvN7z	0.0	Voodoo	0.0	0.0	null	0.0	4tI57VrqnmaDtrlhNYvN7z	0	0	0.0	983	4tI57VrqnmaDtrlhNYvN7z	0.0	0.0
0Y8xR4gVWBnJB4ofmfZknk	0.0	Al Bell	0.0	0.0	null	0.0	0Y8xR4gVWBnJB4ofmfZknk	0	0	0.0	984	0Y8xR4gVWBnJB4ofmfZknk	0.0	0.0
4WlSvDKaq1PA2Nr7cCIPxX	0.002340079531976473	Stephen Stills	12.0	180076.6058190614	null	0.17831642243603013	4WlSvDKaq1PA2Nr7cCIPxX	3	0	0.0	4957	4WlSvDKaq1PA2Nr7cCIPxX	0.17137769143597215	8.0
50UMTib697JJ44le8DO2Va	0.052828075853328105	Tony Yayo	10.0	161.62772226068338	null	0.22706243496201942	50UMTib697JJ44le8DO2Va	4	5	0.8333333333333334	5971	50UMTib697JJ44le8DO2Va	0.2117665886495029	46.0
3534yWWzmxx8NbKVoNolsK	0.012574944717759572	Wolfgang Gartner	10.0	7651.806671548505	null	0.2072858657286293	3534yWWzmxx8NbKVoNolsK	3	0	0.0	5728	3534yWWzmxx8NbKVoNolsK	0.1949934609221021	6.0
5euFVjMHgVfUUaaFD2zYl1	4.143912571332906E-4	Jack Blanchard & Misty Morgan	1.0	0.0	null	1.0	5euFVjMHgVfUUaaFD2zYl1	1	0	0.0	985	5euFVjMHgVfUUaaFD2zYl1	1.0	58.0
6NdUynEJ8GVZkcEEscghxN	0.004560838967811724	DJ Fatal	12.0	0.0	null	0.18561397693979623	6NdUynEJ8GVZkcEEscghxN	1	0	0.0	5934	6NdUynEJ8GVZkcEEscghxN	0.1749549638884757	20.0
29hSly21enXbZfk0EBtpPD	0.0	HH	0.0	0.0	null	0.0	29hSly21enXbZfk0EBtpPD	0	0	0.0	986	29hSly21enXbZfk0EBtpPD	0.0	0.0
25VnRsiguWNVs6AiwrYBQc	0.006257946894931029	Ricky C	11.0	0.0	null	0.20464266562416056	25VnRsiguWNVs6AiwrYBQc	1	0	0.0	2695	25VnRsiguWNVs6AiwrYBQc	0.19435621569023445	2.0
0UWZUmn7sybxMCqrw9tGa7	0.029596040401867484	Juanes	11.0	185521.85579538043	null	0.23159389023974192	0UWZUmn7sybxMCqrw9tGa7	11	0	0.0	5728	0UWZUmn7sybxMCqrw9tGa7	0.217362736643259	56.0
0ygIgsjUzKivFgxgjQ9iV9	0.0020296153336760514	Jacques Greene	11.0	0.0	null	0.18246755632219122	0ygIgsjUzKivFgxgjQ9iV9	1	0	0.0	5415	0ygIgsjUzKivFgxgjQ9iV9	0.17488848504873616	2.0
2vUCVkeZjzDcaoX4gagHdV	0.0024183846038451835	Julian Jordan	11.0	0.0	null	0.1845542207860509	2vUCVkeZjzDcaoX4gagHdV	1	0	0.0	4904	2vUCVkeZjzDcaoX4gagHdV	0.17592023265475695	2.0
74KM79TiuVKeVCqs8QtB0B	0.0022784608204533255	Sabrina Carpenter	13.0	0.0	null	0.14773673541857477	74KM79TiuVKeVCqs8QtB0B	1	0	0.0	5948	74KM79TiuVKeVCqs8QtB0B	0.14304245601707968	4.0
1J2VVASYAamtQ3Bt8wGgA6	0.19129786328708495	Ja Rule	10.0	321258.39700215065	null	0.25856728263444434	1J2VVASYAamtQ3Bt8wGgA6	32	20	0.04032258064516129	5656	1J2VVASYAamtQ3Bt8wGgA6	0.23609438422766404	206.0
0C2tujU7GFklyZtRwK3gwd	0.0	Mr. Vegas feat. Patrice	0.0	0.0	null	0.0	0C2tujU7GFklyZtRwK3gwd	0	0	0.0	987	0C2tujU7GFklyZtRwK3gwd	0.0	0.0
5kvH7Sw89QSBYPvL5XvFRO	0.0	Tom Mangan	0.0	0.0	null	0.0	5kvH7Sw89QSBYPvL5XvFRO	0	0	0.0	988	5kvH7Sw89QSBYPvL5XvFRO	0.0	0.0
0puypnsWTRY3cwySIyMjhe	0.0	Ellen Foley	0.0	0.0	null	0.0	0puypnsWTRY3cwySIyMjhe	0	0	0.0	989	0puypnsWTRY3cwySIyMjhe	0.0	0.0
4AcHt3JxKy59IX7JNNlZn4	0.0035425574485121306	Fitz and The Tantrums	12.0	63495.0	null	0.16343682976973048	4AcHt3JxKy59IX7JNNlZn4	7	0	0.0	5659	4AcHt3JxKy59IX7JNNlZn4	0.15667643489328953	16.0
42CTAGssAbOtmEow2Q5saa	0.0	Storm	0.0	0.0	null	0.0	42CTAGssAbOtmEow2Q5saa	0	0	0.0	990	42CTAGssAbOtmEow2Q5saa	0.0	0.0
7mMXdfc082TjsMVrMzo4uw	0.008945067618536971	OK DAC courtesy of Formation Records and Taciturn	11.0	0.0	null	0.20385911556798697	7mMXdfc082TjsMVrMzo4uw	1	0	0.0	5656	7mMXdfc082TjsMVrMzo4uw	0.19342225470491503	2.0
2KoL4cTAc1mHLhsZOt2lqH	4.143912571332906E-4	Vibraphile	1.0	0.0	null	1.0	2KoL4cTAc1mHLhsZOt2lqH	1	0	0.0	1148	2KoL4cTAc1mHLhsZOt2lqH	1.0	2.0
02kJSzxNuaWGqwubyUba0Z	0.009017304650317231	G-Eazy	12.0	159152.32394707442	null	0.1737136724454985	02kJSzxNuaWGqwubyUba0Z	17	1	0.007352941176470588	2695	02kJSzxNuaWGqwubyUba0Z	0.16467294081045344	52.0
