name,betweenesscentrality,closnesscentrality,clustering,degree,eccentricity,eigencentrality,harmonicclosnesscentrality,weighted degree,pagerank,Spotify ID,Cluster,profile
Bebe Bardon,0.0,0.05929976074450905,0.0,1,15,1.608130972542838e-07,827.179983904963,10,4.669246535189288e-05,4Nn8TmcVXXHD316LYx6XRd,2,1A 2B 3A 4A
Toni Cornell,0.0,0.07611714517068847,0.0,3,12,1.1832571648578747e-05,1054.8915584415201,6,4.0084574336245674e-05,4PTerLvBoujuUk8TUpiVXR,5,1A 2B 3A 4A
Coury Palermo,0.0,7.528419784687193e-05,0.0,1,1,3.853992924640798e-14,1.0,2,6.76186294373235e-05,5FRjxb92dAaj5MFCYhU8xc,1,1A 2A 3A 4A
Cheryl Porter,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,3BCwn8kef8LNrfMhOiTcYa,1,1A 2A 3A 4A
Wyclef Jean,0.0008833847311518044,0.09868318770361482,0.0,14,14,0.009004106246425458,1442.9430486180918,120,0.000534134732426251,7aBzpmFXB4WWpPl2F7RjBe,4,1A 2B 3A 4A
Stan Pebbles Band,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,6PD8YeFNYr13xDrNc6ZEWC,1,1A 2A 3A 4A
Chimamanda Ngozi Adichie,0.0,0.09046424223871681,0.0,1,14,0.0012684544881600114,1277.9264541014977,4,2.4884054415023412e-05,2jmAsMZ9hdMfeyCLiBeCzI,4,1A 2B 3A 4A
Steven Redant,4.025994223501822e-05,0.09421056492437672,0.0,2,14,0.0011112322729328388,1339.6378898879361,6,4.135963113486414e-05,5qJpsMbomjAEaeA7lG6IbM,4,1A 2B 3A 4A
Cosculluela,7.567384759159451e-06,0.09249845645416806,0.0,4,14,0.0009527250618477603,1320.645501720546,10,5.4890145010698244e-05,00me4Ke1LsvMxt5kydlMyU,4,1A 2B 3A 4A
"Bernard ""Pretty"" Purdie",3.4008822999640994e-08,0.00022585259354061582,0.0,5,1,1.6057914695228525e-12,3.0,18,0.00023929121626164985,0v0wFiHWFaKEEAwlDtDiRT,1,1A 2A 3A 4A
Bernie Williams,0.0,0.06722740289312701,0.0,1,14,7.976300148194471e-07,919.9841242090868,2,4.3353134786599745e-05,3usg1Dxx2KFycc9stTTw6C,5,1A 2B 3A 4A
The Bedtime Storytellers,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,1m4Ng2L0Da8FywFWinf4Nl,1,1A 2A 3A 4A
Rusty Young,0.0,0.05294637436218454,0.0,1,16,1.5887904504739393e-09,721.2718087468041,2,3.797935787576731e-05,4if0dPbXjtc89UWy63Y5zV,2,1A 2B 3A 4A
Excellent Ambient Jazz,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,1Lj4KIiYZU9gVKcmjMR5GU,1,1A 2A 3A 4A
Lyndon Woodside,0.0,0.061485067126268875,0.0,1,16,2.0816149003086362e-07,852.7699203573982,2,2.4127629356312082e-05,2GfScI2vpBHHj4u8UszHur,2,1A 2B 3A 4A
Wax Motif,0.0,0.09521546401420845,0.0,1,14,0.008078415195662365,1379.1859057609486,2,1.9006640414885297e-05,7zm3aSdmGiOkTt0aZFSO8R,4,1A 2B 3A 4A
Peter Monk,0.0,0.0003212125774799869,0.0,3,2,5.578259348295175e-11,4.5,18,8.653691535483152e-05,1t8ytdFlpyTVqVvPWdNoi0,1,1A 2A 3A 4A
Space Primates,0.0,0.0861562101258349,0.0,1,14,0.0004091624130774299,1207.888034188059,2,3.2309489934645064e-05,20RYWcdxVryQ6rcjxnsEtc,4,1A 2B 3A 4A
Luis Enrique,0.0,0.07425772881271947,0.0,1,13,1.226889076468609e-05,1028.1265456764982,2,2.9485595144678415e-05,7iP8gknTZSjNsKbsX3W6U7,5,1A 2B 3A 4A
Good Charlotte,0.00015493286131203115,0.0957077612320897,0.0,5,14,0.007669663123113821,1392.094635919678,14,0.0001362944939552672,5aYyPjAsLj7UzANzdupwnS,4,1A 2B 3A 4A
The Breeders,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,1xgFexIwrf2QjbU0buCNnp,1,1A 2A 3A 4A
Le' Funnk,0.0,0.00028376351496128653,0.0,3,2,1.8891790512824235e-11,4.0,12,6.954055212905324e-05,0oECYp50kv5WQ8MioJ8v6h,1,1A 2A 3A 4A
Christian Grey,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,69UC85Hyj9hyKQbN1x5ID9,1,1A 2A 3A 4A
Q.T. Hush,0.0,0.00015056839569374387,0.0,3,3,1.7592416772773801e-12,2.333333333333333,6,8.325758084535052e-05,4hLk0fMXwBnCBHh7lrpzyH,1,1A 2A 3A 4A
Hoboken,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,4HARu4hK9xDTdAIao8q8yH,1,1A 2A 3A 4A
Max Ehrich,0.0,0.07059552006737921,0.0,1,15,7.244373814297463e-06,974.442021866979,2,3.590536834818601e-05,3UoV4JMHa9EtQYspb9hvAP,5,1A 2B 3A 4A
Mark Braga,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,5mPFQa6qAjRTp2mQDBSIz6,1,1A 2A 3A 4A
Hungarian State Opera Chamber Orchestra,0.0,7.528419784687193e-05,0.0,3,1,6.235891544425749e-14,1.0,6,0.00012484282504543226,69649d4xMoqebuvlbGKnNf,1,1A 2A 3A 4A
Volt9,1.1336274333213664e-08,0.00015056839569374387,0.0,4,1,4.171043089460296e-13,2.0,12,0.00018206702065354108,0BPMrPOYc8X0KYlY4XTk0A,1,1A 2A 3A 4A
P2theLA,0.0,0.10283526241211753,0.0,1,13,0.019041981637991912,1512.6148823399199,2,1.955235732581664e-05,2jqyhdFTZe6Je3NkbY9BTG,4,1A 2B 3A 4A
Flamez,0.0,0.0004337803780700717,0.0,1,2,9.363991735838369e-11,6.0,2,3.5786302418856795e-05,4h0AmOoEfxJ5GiSKnqo82I,1,1A 2A 3A 4A
Image Sounds,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,0BiFIUXO0yZbXpLhV1WivL,1,1A 2A 3A 4A
Jordan Sapp,0.0,0.06649654591058653,0.0,1,15,3.6829158813949115e-07,917.5947968697664,2,3.2400683194391185e-05,7ajUXX5CarGicVi4qqqGWT,2,1A 2B 3A 4A
Peabo Bryson,0.0007740294751974957,0.06720813303313203,0.0,6,14,1.129390541222623e-06,928.8982017981693,16,0.00016389394878115694,49iKbKGqgn8OESkW5WduX0,5,1A 2B 3A 4A
Daz Dillinger,0.0014816391220624137,0.1026401917281513,0.018461538461538463,28,13,0.00928681285415012,1515.7566211566636,230,0.0009356234559469269,5Jz9kKRnCRLTodCH58MyB4,0,1A 2B 3A 4A
American Band,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,2bevWyB6njdg59UwNUZgzl,1,1A 2A 3A 4A
Dean James Barratt,0.0,0.06381212006961376,0.0,1,16,2.1572068416499998e-07,877.0596972471704,2,3.10021426879341e-05,6WuhPF65SaUyyG9EpxMjzZ,2,1A 2B 3A 4A
Javier Colon,0.00015493286131203115,0.06835099521449067,0.0,5,13,7.774449796212528e-07,943.504431679396,18,0.00017905722024739437,3flTDj1VSZCktpBGZlNutt,5,1A 2B 3A 4A
Large Professor,0.0,0.07709150869661198,0.0,1,14,3.598786014486403e-05,1072.4358336108044,4,3.370428155852911e-05,01nVIuD8YZsnFH6x6Cc9rX,5,1A 2B 3A 4A
Kiiara,0.0008339925931307773,0.10781278921454332,0.0,15,13,0.00970388665629277,1575.6775807526174,74,0.00030689459305132234,4u5smJBskI6Adzv08PuiUP,0,1A 2B 3A 4A
Pendulum,0.0,0.0904526093603074,0.0,3,14,0.0007534962510564127,1276.0359418359817,6,4.077834246223925e-05,7MqnCTCAX6SsIYYdJCQj9B,4,1A 2B 3A 4A
Kevin Gates,0.0,0.08040852331405653,0.0,1,15,0.00023677400642977095,1125.1119019868981,2,2.4652521248975532e-05,1L2qyReU3Bn3pEFNvTks39,5,1A 2B 3A 4A
Cooliecut,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,19uEVh7y7Y9RfjMphMamXc,1,1A 2A 3A 4A
Avion Blackman,0.0,7.528419784687193e-05,0.0,1,1,3.853992924640798e-14,1.0,2,6.76186294373235e-05,0lEo8Bgl7QGsRRZXZr8mWO,1,1A 2A 3A 4A
Curtis Mayfield,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,2AV6XDIs32ofIJhkkDevjm,1,1A 2A 3A 4A
Rebecca Black,0.00023238228755654688,0.08181893662487397,0.0,6,14,0.00015152006276199838,1145.5276445776476,18,0.00017270504375931363,3Vl9fyKMIdLMswk8ai3mm9,5,1A 2B 3A 4A
Johnny Caswell,0.0,0.0,0.0,0,0,1.9621383603543451e-19,0.0,0,1.4441429364660243e-05,5K3olUPdZjhVOUHV2HqmUQ,1,1A 2A 3A 4A
