Id,name,popularity,followers,genres,image,Spotify ID
2038,Third Day,54,361027,"ccm, christian alternative rock, christian music, christian rock, worship",7uWXomGkKtIq9B4XgA3gch.jpg,7uWXomGkKtIq9B4XgA3gch
2039,All Sons & Daughters,56,147015,"anthem worship, ccm, christian music, christian uplift, indiecoustica, worship",44LPOpECjnIlnwH91wo2ir.jpg,44LPOpECjnIlnwH91wo2ir
2040,Harvest,34,1079,,3Dh3p9j6KhjyhVAUI9SIYR.jpg,3Dh3p9j6KhjyhVAUI9SIYR
2041,Third Eye Blind,64,538058,"alternative rock, modern rock, neo mellow, pop punk, pop rock, post-grunge, rock",6TcnmlCSxihzWOQJ8k0rNS.jpg,6TcnmlCSxihzWOQJ8k0rNS
2042,Thirty Seconds To Mars,71,1861086,"modern rock, pop punk, post-grunge",0RqtSIYZmd4fiBKVFqyIqD.jpg,0RqtSIYZmd4fiBKVFqyIqD
2043,Thousand Foot Krutch,65,500104,"alternative metal, canadian ccm, canadian metal, canadian rock, christian alternative rock, christian rock, nu metal, post-grunge, rap metal, rap rock",6GfiCQDFYANz5wUkSmb3Dr.jpg,6GfiCQDFYANz5wUkSmb3Dr
2044,Three Days Grace,73,2232296,"alternative metal, canadian metal, canadian rock, nu metal, pop punk, post-grunge, rap metal",2xiIXseIJcq3nG7C8fHeBj.jpg,2xiIXseIJcq3nG7C8fHeBj
2045,Thrice,57,221168,"alternative metal, emo, modern rock, pop punk, post-hardcore, screamo",3NChzMpu9exTlNPiqUQ2DE.jpg,3NChzMpu9exTlNPiqUQ2DE
2046,Dzeko,78,8979,big room,5vQfv3s2Z2SRdPZKr82ABw.jpg,5vQfv3s2Z2SRdPZKr82ABw
2047,Preme,79,62964,"canadian hip hop, pop rap, rap, southern hip hop, trap music",0bdJZl7TDeiymDYzMJnVh2.jpg,0bdJZl7TDeiymDYzMJnVh2
2048,Stargate,63,7238,norwegian pop,7KUri7klyLaIFXLcuuOMCd.jpg,7KUri7klyLaIFXLcuuOMCd
2049,Sevenn,64,84009,brazilian electronica,7bNqXqIrIfwJnipx7oGeU4.jpg,7bNqXqIrIfwJnipx7oGeU4
2050,Mesto,56,19804,deep big room,0RViEWnZO2VhmY4oI0PhF9.jpg,0RViEWnZO2VhmY4oI0PhF9
2051,TLC,68,1123020,"dance pop, girl group, hip pop, maskandi, new jack swing, pop, r&b, urban contemporary",0TImkz4nPqjegtVSMZnMRq.jpg,0TImkz4nPqjegtVSMZnMRq
2052,Toby Keith,66,920611,"contemporary country, country, country road",2bA6fzP0lMAQ4kz6CF61w8.jpg,2bA6fzP0lMAQ4kz6CF61w8
